Method,Round,mAP50_zebra
Nguyen Method 2 (Unc-Div),0,0.5965034571576359
Nguyen Method 2 (Unc-Div),1,0.6448826756910723
Nguyen Method 2 (Unc-Div),2,0.6648123712040633
Nguyen Method 2 (Unc-Div),3,0.6661196240448348
Nguyen Method 2 (Unc-Div),4,0.700740389432246
Nguyen Method 2 (Unc-Div),5,0.7064210662926682
Nguyen Method 2 (Unc-Div),6,0.7006253190503968
Nguyen Method 2 (Unc-Div),7,0.7201317877207196
Nguyen Method 2 (Unc-Div),8,0.7173377066502737
