Model,Round,mAP50_rhino,mAP50_zebra,mAP50_leopard
yolov8n,0,0.5571594550034675,0.5612181562625086,0.4019353114234807
yolov8n,1,0.6088595759219801,0.5851619465639395,0.5651359879816089
yolov8n,2,0.5670376549646245,0.5929302713520672,0.6050501522390425
yolov8n,3,0.5331386268091701,0.5887407493866715,0.5451985746315666
yolov8n,4,0.5009060535835358,0.602284829345666,0.6018022930426472
yolov8n,5,0.5150724550354261,0.6116084722198234,0.6310250145531497
yolov8n,6,0.5207396128507337,0.6184288963137051,0.5854743021426705
